"state","year","disease","median_rate","lower_95","upper_95","lower_80","upper_80","is_forecast","region","disease_label","state_f"
"AC",2010,"glaucoma",4.07425550370947,1.41228184638549,10.7549464611671,2.05586688133735,7.88266836922305,FALSE,"North","Glaucoma","AC"
"AC",2011,"glaucoma",3.11694357033774,1.2777454577444,7.77938671650954,1.72666132918906,5.78263806054324,FALSE,"North","Glaucoma","AC"
"AC",2012,"glaucoma",2.85142686795278,1.06415307500659,6.34115247032977,1.42022604607145,5.11081853482416,FALSE,"North","Glaucoma","AC"
"AC",2013,"glaucoma",2.53440464001352,1.07670901710372,5.31087145144387,1.3821367793736,4.447395897711,FALSE,"North","Glaucoma","AC"
"AC",2014,"glaucoma",2.54697378789412,0.976829510358472,5.77452324542931,1.3845191760774,4.37836375401385,FALSE,"North","Glaucoma","AC"
"AC",2015,"glaucoma",3.21790752183709,1.48668578531218,7.09489798512478,1.81098329402418,5.57540882780958,FALSE,"North","Glaucoma","AC"
"AC",2016,"glaucoma",6.25887444113294,3.23545645943734,12.0058721446718,4.02401259327835,9.74983126332637,FALSE,"North","Glaucoma","AC"
"AC",2017,"glaucoma",9.77400409256347,5.44821697614061,17.9315639369411,6.72751018375099,14.4675730260762,FALSE,"North","Glaucoma","AC"
"AC",2018,"glaucoma",12.7264968066371,7.37631069505401,21.2942685606177,8.70019172400492,17.7162196673467,FALSE,"North","Glaucoma","AC"
"AC",2019,"glaucoma",11.797430317771,6.80213971613856,21.4973979758776,8.28280003691661,17.068589009371,FALSE,"North","Glaucoma","AC"
"AC",2020,"glaucoma",18.0181245426942,10.7540406577242,29.5691113792819,12.7621814736222,25.1345200448799,FALSE,"North","Glaucoma","AC"
"AC",2021,"glaucoma",6.3516841664615,3.06429157481607,11.788600660871,3.95493653403965,9.95508064058549,FALSE,"North","Glaucoma","AC"
"AC",2022,"glaucoma",3.99999429583371,1.64908612794445,7.50714286395044,2.35390829871625,6.25276309274754,FALSE,"North","Glaucoma","AC"
"AC",2023,"glaucoma",3.24654820676033,1.40171305375958,7.4341051103501,1.76125963656899,5.31507633996983,FALSE,"North","Glaucoma","AC"
"AC",2024,"glaucoma",3.14043865505236,1.11250468659197,7.34011819416074,1.72884492619638,5.83492590623641,FALSE,"North","Glaucoma","AC"
"AC",2025,"glaucoma",2.84943112049001,0.672271832005837,10.0284407460288,1.11794999658798,6.40322613280246,TRUE,"North","Glaucoma","AC"
"AC",2026,"glaucoma",3.09524317622493,0.551230764471945,14.5044230455729,0.948432290577293,7.93914187502748,TRUE,"North","Glaucoma","AC"
"AC",2027,"glaucoma",2.83370054300085,0.487677628398664,16.7998107275611,0.803861861973908,9.00867016701634,TRUE,"North","Glaucoma","AC"
"AC",2028,"glaucoma",2.71710534455791,0.352510890827412,23.4880044158054,0.681446336076752,11.5968236502091,TRUE,"North","Glaucoma","AC"
"AC",2029,"glaucoma",2.82415092576933,0.243699429270314,27.0185460900487,0.550794153946587,13.4988045557278,TRUE,"North","Glaucoma","AC"
"AC",2030,"glaucoma",3.03126078615399,0.209563688328665,32.3740396574313,0.530242988456689,13.8283499363658,TRUE,"North","Glaucoma","AC"
"AC",2031,"glaucoma",3.0414414674642,0.157715405693044,33.5639793573527,0.475852027123152,16.0822166127373,TRUE,"North","Glaucoma","AC"
"AC",2032,"glaucoma",3.20343729853202,0.136257044905583,45.2330223700419,0.426576959509015,16.4031173256579,TRUE,"North","Glaucoma","AC"
"AC",2033,"glaucoma",3.09793426406963,0.112097543665779,43.6018321399885,0.403979743127402,19.4878122796008,TRUE,"North","Glaucoma","AC"
